"Domain","Domainrank","Origin","Target","Nofollow","Anchor","Deleted"
"beagleboard.org","47","https://beagleboard.org/project/","https://openid.internet-sicherheit.de/at2000","0","openid.internet-sicherheit.de...","0"
"shadowserver.org","36","https://dashboard.shadowserver.org/","https://www.internet-sicherheit.de/","0","if-is.net","0"
"it-sicherheit.de","34","https://www.it-sicherheit.de/startseite/","https://www.internet-sicherheit.de/","0","institut für internet-sicherheit","0"
"norbert-pohlmann.com","33","https://norbert-pohlmann.com/","https://www.internet-sicherheit.de/","0","if(is)","0"
"servicemeister.org","33","https://www.servicemeister.org/","https://www.internet-sicherheit.de/","0","","0"
"digital-futurecongress.de","33","https://essen.digital-futurecongress.de/de/","https://www.internet-sicherheit.de/","1","ifis","1"
"digitaleschweiz.ch","33","https://www.digitaleschweiz.ch/markt/security-finder-schweiz/","http://www.internet-sicherheit.de/","0","institut für internet-sicherheit","0"
"gtai.de","32","https://www.gtai.de/en/invest/industries/digital-economy/safety-security","https://www.internet-sicherheit.de/en","0","institut for internet-security at the gelsenkirchen university of applied sciences","0"
"httparchive.org","31","https://almanac.httparchive.org/en/2022/contributors","https://www.internet-sicherheit.de/team/demir-nurullah.html","0","","0"
"vu.nl","31","https://www.cs.vu.nl/~herbertb/","http://www.internet-sicherheit.de/en/research/recent-projects/botnets/sandnet","0","sandnet","0"
"bihk.de","30","https://international.bihk.de/e-commerce/online-verkaufen.html","https://www.internet-sicherheit.de/fileadmin/docs/mitarbeiter/Gaentzsch__Falk/D-Virtualisierung.pdf","0","it-sicherheit im handwerk","0"
"mobilitylogistics.de","30","https://www.mobilitylogistics.de/logistics/produktionslogistik/abgeschlossene-projekte","https://www.internet-sicherheit.de/","0","if(is) - institut für internet-sicherheit, westfälische hochschule, gelsenkirchen","0"
"2fa.jetzt","30","https://www.2fa.jetzt/","https://www.internet-sicherheit.de/","0","","0"
"ethernity.cloud","30","https://ethernity.cloud/","https://www.internet-sicherheit.de/en","0","internet security logo","0"
"cscg.de","30","https://cscg.de/partners/","https://www.internet-sicherheit.de/","0","","0"
"nfits.de","29","https://nfits.de/partner/","https://www.internet-sicherheit.de/","0","institut für internet-sicherheit an der westfälischen hochschule","0"
"git-sicherheit.de","29","https://www.git-sicherheit.de/news/ifis-vertrauenswuerdigkeits-plattform-fuer-ki-loesungen","https://www.internet-sicherheit.de/","0","www.internet-sicherheit.de","0"
"sovrin.org","29","https://sovrin.org/stewards/","https://www.internet-sicherheit.de/?L=2","0","the institute for internet-security","1"
"bloggt-in-braunschweig.de","29","https://marius.bloggt-in-braunschweig.de/2018/02/","https://www.internet-sicherheit.de/","0","das if(is) – institut für internet-sicherheit,","0"
"neustrelitzer-tierschutzverein.de","29","https://neustrelitzer-tierschutzverein.de/","https://www.internet-sicherheit.de/sicher-im-internet-das-buch/workshops-und-themen/verschluesselung-und-identitaeten/ssltls-verschluesselung.html","0","tsl verschlüsselung","0"
"github.com","28","https://github.com/internet-sicherheit/","https://www.internet-sicherheit.de/","1","https://www.internet-sicherheit.de/","0"
"nrw-units.de","28","https://www.nrw-units.de/nrw-units/partner/","https://www.internet-sicherheit.de/","0","institut für internet-sicherheit - if(is)","0"
"sfdasbett.at","28","https://sfdasbett.at/allgemeine-geschaeftsbedingungen/","http://www.internet-sicherheit.de/sicher-im-internet-das-buch/workshops-und-themen/verschluesselung-und-identitaeten/ssltls-verschluesselung.html","0","ssl/tls verfahren","0"
"penz.name","28","https://robert.penz.name/date/2008/03/","https://www.internet-sicherheit.de/","0","institute for internet security","0"
"netzpolitik.org","27","https://netzpolitik.org/2018/staatstrojaner-sind-ein-risiko-fuer-die-innere-sicherheit/","https://www.internet-sicherheit.de/fileadmin/docs/publikationen/2018/Artikel/2018-01_Strafverfolgung-darf-die-IT-Sicherheit-im-Internet-nicht-schwaechen-Bundestrojaner-Prof.-Norbert-Pohlmann.pdf","0","untersuchung solcher angriffsprogramme aus dem bereich der cyberkriminalität","0"
"casinoberater.ch","27","https://casinoberater.ch/online-casinos/mr-bit/","https://www.internet-sicherheit.de/sicher-im-internet-das-buch/workshops-und-themen/verschluesselung-und-identitaeten/ssltls-verschluesselung.html","0","tls-zertifikat","0"
"cispa.saarland","27","https://cispa.saarland/group/rossow/research","http://www.internet-sicherheit.de/","0","if(is)","0"
"prompu.de","27","https://prompu.de/","https://www.internet-sicherheit.de/sicher-im-internet-das-buch/workshops-und-themen/verschluesselung-und-identitaeten/ssltls-verschluesselung.html","0","ssl-verschlüsselung, tls-verschlüsselung","0"
"healbox.de","27","https://healbox.de/","https://www.internet-sicherheit.de/datenschutz","0","datenschutz","0"
"nifis.de","27","http://www.nifis.de/kooperationen/","http://www.internet-sicherheit.de/","0","","0"
"nosoftwarepatents-award.com","26","http://www.nosoftwarepatents-award.com/press/200608.de.html","http://www.internet-sicherheit.de/pohlmann-uebersicht.html","0","prof.dr.n. pohlmann","0"
"e-health-com.de","26","https://e-health-com.de/links/nationale-organisationen-institutionen-verbaende/","http://internet-sicherheit.de/","0","http://internet-sicherheit.de","0"
"w-hs.de","25","https://www.w-hs.de/internet-sicherheit-ge/","https://www.internet-sicherheit.de/index.html","0","institut für internet-sicherheit","0"
"acceptableadscommittee.org","25","https://www.acceptableadscommittee.org/the-committee/","https://www.internet-sicherheit.de/?L=2","0","institute for internet security","0"
"binarus.de","24","https://www.binarus.de/articles/apc-usv-network/apc-usv-network.shtml","http://www.internet-sicherheit.de/institut/buch-sicher-im-internet/workshops-und-themen/verschluesselung-und-identitaeten/kryptographie/elektronische-zertifikate","0","elek­tro­ni­schen zer­ti­fi­kats","0"
