"Domain","Domainrank","Origin","Target","Nofollow","Anchor","Deleted"
"internet-sicherheit.de","34","https://www.internet-sicherheit.de/","https://www.it-sicherheit.de/securitynews","0","securitynews","0"
"nifis.de","33","http://www.nifis.de/news/","http://www.it-sicherheit.de/","0","marktplatz it-sicherheit","0"
"netzpolitik.org","30","https://netzpolitik.org/2011/interne-dokumente-des-auswartigen-amtes-zur-anderung-der-open-source-strategie/","https://www.it-sicherheit.de/fileadmin/user_upload/reports/file97.pdf","1","https://www.it-sicherheit.de/fileadmin/user_upload/reports/file97.pdf","0"
"it-defense.de","28","https://www.it-defense.de/archiv/it-defense-2015/programm/index.html","https://www.it-sicherheit.de/magazin/fachzeitschrift","0","logo_it-sicherheit_neu.jpg","0"
"kraus-computersysteme.de","28","https://www.kraus-computersysteme.de/","https://www.it-sicherheit.de/securitynews/iframe","0","","0"
"syracom.de","28","https://www.syracom.de/news/blog/it-security/cybersecurity-im-homeoffice-tipps-zum-schutz-vor-online-bedrohungen.html","https://it-sicherheit.de/news/secure-remote-work-nachholbedarf-beim-thema-sicheres-homeoffice-1/&nbsp","0","it-sicherheit.de/news/secure-remote-work-nachholbedarf-beim-thema-sicheres-homeoffice-1/&nbsp","0"
"itandmore.eu","26","https://www.itandmore.eu/","https://www.it-sicherheit.de/","0","marktplatz it-sicherheit","1"
"norbert-pohlmann.com","26","https://norbert-pohlmann.com/glossar-cyber-sicherheit/cyber-sicherheit-2/","https://www.it-sicherheit.de/master-studieren","0","master-studiengang internet-sicherheit (it-sicherheit, cyber-sicherheit)","0"
"kompetenznetze-untermain.de","25","https://www.kompetenznetze-untermain.de/kompetenznetze/informationstechnologie/it-sicherheit/","http://www.it-sicherheit.de/","0","www.it-sicherheit.de","0"
"w-hs.de","25","https://www.w-hs.de/internet-sicherheit-ge/","https://www.it-sicherheit.de/master-studieren","0","master internet-sicherheit","0"
"erdbeerchili.de","25","https://erdbeerchili.de/schulungen/wolfenbuettel-socialmedia/","https://www.it-sicherheit.de/ratgeber/it_sicherheitstipps/tipp/haftung-fuer-nicht-eigene-blog-kommentare-1","0","haftung für nicht eigene blog-kommentare","0"
"ihk-bonn.de","24","https://www.ihk-bonn.de/innovation-und-umwelt/it-sicherheit-e-commerce/it-sicherheit-tipps","http://www.it-sicherheit.de/","0","it sicherheitstipps für kmu","0"
"radioigel.at","24","https://radioigel.at/bist-du-auch-taeglich-im-internet/","http://www.it-sicherheit.de/","0","www.it-sicherheit.de","0"
"powermedia.de","23","https://powermedia.de/karrierenetzwerk/","https://www.it-sicherheit.de/stellenanzeigen/job_suchen/?no_cache=1","0","","0"
"ihk-siegen.de","23","https://www.ihk-siegen.de/innovation-umwelt-und-energie/it-und-multimedia/it-sicherheit/","https://www.it-sicherheit.de/","0","der marktplatz der it-sicherheit","0"
"entermyworld.de","22","https://www.entermyworld.de/","https://www.it-sicherheit.de/securitynews/iframe","0","","1"
"grimme-online-award.de","22","https://www.grimme-online-award.de/archiv/2014/liste-der-eingegangenen-vorschlaege/","http://www.it-sicherheit.de/securitynews/was_ist_securitynews","0","www.it-sicherheit.de/securitynews/was_ist_securitynews/","0"
"susii.nrw","22","https://www.susii.nrw/linksammlung/","https://www.it-sicherheit.de/","0","marktplatz it-sicherheit – der nicht‑kommerzielle marktplatz des institut für internet-sicherheit (if(is))","0"
"economy4mankind.org","22","https://www.economy4mankind.org/usa-arbeitslosenstatistik-armutsstatistik-manipuliert/","https://www.it-sicherheit.de/ratgeber/it_sicherheitstipps/tipp/haftung-fuer-nicht-eigene-blog-kommentare-1","1","für kommentare von besuchern haftbar","0"
"stadt-bremerhaven.de","22","https://stadt-bremerhaven.de/aktuelle-sicherheitsluecken-im-ueberblick-dank-securitynews-fuer-ios-und-android/","https://www.it-sicherheit.de/securitynews/securitynews_auf_ihrer_website","0","webseite","0"
"ruettinger-it.de","21","https://www.ruettinger-it.de/","https://www.it-sicherheit.de/securitynews/iframe","0","","0"
"hwk-ufr.de","21","https://www.hwk-ufr.de/artikel/it-sicherheit-im-handwerk-78,3412,5547.html","https://www.it-sicherheit.de/security","0","bsi-sicherheitsampel","0"
"ins-ziel.de","21","https://www.ins-ziel.de/stellenboersen.html","https://www.it-sicherheit.de/stellenanzeigen/job_suchen/?no_cache=1","0","www.it-sicherheit.de","0"
"saechsische.de","20","https://www.saechsische.de/worauf-man-beim-online-shopping-achten-sollte-933.html?utm_source=szonline","https://www.it-sicherheit.de/ratgeber/it_sicherheitstipps/tipp/sicher-einkaufen-im-internet","0","mit einem abgesicherten computer, tablet oder smartphone im internet gesurft und eingekauft werden","0"
"detektor.fm","20","https://detektor.fm/kultur/anwalt-als-online-spam-filter-wie-effektiv-sind-abmahnungen-im-netz/","https://www.it-sicherheit.de/ratgeber/checklisten_it_sicherheit/checkliste_it_sicherheit/?tx_ttnews[tt_news]=768&cHash=f1a85d4c4bf567c3239ce979f4b8926d","1","anti-spam-checkliste des institut für internet-sicherheit","0"
"archiware.com","20","https://www.archiware.com/de/press-voices","https://www.it-sicherheit.de/","0","magazine website (german)","0"
"hs-augsburg.de","20","http://mebib-intern.informatik.hs-augsburg.de/fai/informatik/spezialthemen/sicherheit.html","https://www.it-sicherheit.de/","0","it-sicherheit","0"
"uni-weimar.de","20","https://www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/scc-rechenzentrum/hilfe-support-center/informationsquellen/","https://www.it-sicherheit.de/?no_cache=1","0","https://www.it-sicherheit.de/?no_cache=1","0"
"bildungsserver.de","20","https://www.bildungsserver.de/zeitschrift-weiterbildung-1-2017-linkempfehlungen-zum-schwerpunkt-digitale-kompetenz-chancen-und-risiken-der-virtuellen-welt--11770-de.html","https://www.it-sicherheit.de/","0","der nicht-kommerzielle marktplatz it-sicherheit","0"
"watson.ch","19","https://www.watson.ch/digital/apple/987948832-das-sind-die-10-gefaehrlichsten-programme-die-du-auf-deinem-windows-pc-oder-mac-haben-kannst","https://www.it-sicherheit.de/securitynews/securitynews_webapp/ampel","0","zeigt auf einen blick, welche programme aktuell offene schwachstellen haben","0"
"computerwoche.de","19","https://www.computerwoche.de/a/selbst-schuld,3327016","https://www.it-sicherheit.de/ratgeber/it_sicherheitstipps","0","institut für internet-sicherheit","0"
"archiware.de","19","https://www.archiware.de/de/press-voices","https://www.it-sicherheit.de/","0","magazine website (german)","0"
"chrisdietri.ch","18","https://chrisdietri.ch/","https://www.it-sicherheit.de/master-studieren","0","master-studiengang internet-sicherheit","0"
"danube.net","18","http://www.danube.net/","https://www.it-sicherheit.de/","1","securitynews","0"
"postonseo.com","17","https://postonseo.com/website-list-1867/","https://it-sicherheit.de/","0","it-sicherheit","0"
"polizeiinformatik.de","17","https://www.polizeiinformatik.de/links.html","http://www.it-sicherheit.de/","0","it-sicherheit.de","0"
"woelky.net","17","https://www.woelky.net/leistungsprofil.php","http://www.it-sicherheit.de/","0","\"der marktplatz it-sicherheit\"","0"
"digitaleschweiz.ch","17","https://www.digitaleschweiz.ch/markt/security-finder-schweiz/security_tools_links/","http://www.it-sicherheit.de/","0","it-sicherheit.de","0"
"hubit.de","17","https://www.hubit.de/presseartikel-im-april/","https://www.it-sicherheit.de/news/tatort-diensthandy","0","it-sicherheit","0"
"aidea.de","17","https://www.aidea.de/datenschutz","https://www.it-sicherheit.de/securitynews/iframe","0","","0"
"wayranks.com","16","https://wayranks.com/a-comparison-of-online-marketing-with-offline-marketing-techniques/","https://it-sicherheit.de/","0","it-sicherheit","0"
"99site.online","16","https://99site.online/website-list-1835/","https://it-sicherheit.de/","0","it-sicherheit","0"
"forschungstag-it-sicherheit.nrw","16","http://www.forschungstag-it-sicherheit.nrw/","https://www.it-sicherheit.de/securitynews","0","securitynews","1"
"itsicherheitsblog.de","16","https://www.itsicherheitsblog.de/archives/cat_awareness.html","https://www.it-sicherheit.de/securitynews/securitynews_auf_ihrer_website","0","einbinden in die eigene intranet-seite","0"
"prolinksdirectory.com","16","https://prolinksdirectory.com/website-list-1835/","https://it-sicherheit.de/","0","it-sicherheit","0"
"allarticles.online","16","https://allarticles.online/website-list-de-41/","https://it-sicherheit.de/","1","it-sicherheit","0"
"addnews.online","16","https://addnews.online/website-list-de-41/","https://it-sicherheit.de/","1","it-sicherheit","0"
"proofpoint.com","16","https://www.proofpoint.com/de/news?page=20","https://www.it-sicherheit.de/news/e-mail-betrug-hochkonjunktur-fuer-identitaetsbetrug-im-gesundheitswesen","1","e-mail-betrug: hochkonjunktur für identitätsbetrug im gesundheitswesen","0"
"webranksdirectory.com","16","https://webranksdirectory.com/website-list-1835/","https://it-sicherheit.de/","0","it-sicherheit","0"
"ivanti.com","16","https://www.ivanti.com/de/company/news","https://www.it-sicherheit.de/news/trends-im-identity-management-fuer-2020","0","trends in identity management for 2020","0"
"mit-blog.de","15","http://mit-blog.de/sicher-im-internet-unterwegs-dank-securitynews-app/","https://www.it-sicherheit.de/securitynews/securitynews_auf_ihrer_website","0","https://www.it-sicherheit.de/securitynews/securitynews_auf_ihrer_website/","0"
"nauticschule-hann-muenden.de","15","http://www.nauticschule-hann-muenden.de/","https://www.it-sicherheit.de/index.php?id=614","0","","0"
"computer-zahn.de","15","http://www.computer-zahn.de/links.htm","https://www.it-sicherheit.de/","0","der marktplatz it-sicherheit","0"
"motocms.com","15","https://www.motocms.com/blog/de/wertvolle-tipps-zur-optimierung-eures-online-shops/","https://www.it-sicherheit.de/ratgeber/it_sicherheitstipps/tipp/zahlungsmethoden-fuers-online-shopping-im-ueberbl","1","zahlungsmethoden für’s online-shopping im überblick","0"
"koalahilfe.de","15","https://sicherheit.koalahilfe.de/","https://www.it-sicherheit.de/","1","it-sicherheit.de","0"
"susii.koeln","15","https://www.susii.koeln/de/projekt/linksammlung.html","https://www.it-sicherheit.de/","0","marktplatz it-sicherheit - der nicht‑kommerzielle marktplatz des institut für internet-sicherheit (if(is))","1"
"trojaner-info.de","14","https://www.trojaner-info.de/business-security/aktuell/europaeische-cyber-security-organisation-gegruendet.html","https://www.it-sicherheit.de/news/european-cyber-security-organisation-gegruendet","0","european cyber security organisation gegründet","0"
"bcp-it.de","14","https://bcp-it.de/","https://www.it-sicherheit.de/securitynews","1","it-sicherheit.de","0"
"forenarchiv.de","14","https://forenarchiv.de/freeboard/board/show_thread.php?userid=3391&topic=1293989&forumid=59898","http://www.it-sicherheit.de/","0","http://www.it-sicherheit.de","0"
"seogoal.online","14","https://seogoal.online/website-list-de-41/","https://it-sicherheit.de/","1","it-sicherheit","0"
"gindat.de","14","https://www.gindat.de/news/detail/sicherheitsupdate-fuer-mozilla-firefox-und-seamonkey.html","https://www.it-sicherheit.de/ratgeber/securitynews","0","einen ausführlicheren artikel finden sie hier: https://www.it-sicherheit.de","1"
"anmelder.ch","14","http://www.anmelder.ch/web/auskunft/branchenbuch-25-2.htm","http://www.it-sicherheit.de/","0","startseite - der marktplatz it-sicherheit","0"
"waynews.online","14","https://waynews.online/website-list-1835/","https://it-sicherheit.de/","0","it-sicherheit","0"
"starsites.online","14","https://starsites.online/website-list-de-41/","https://it-sicherheit.de/","1","it-sicherheit","0"
"wayranks.online","14","https://wayranks.online/website-list-de-41/","https://it-sicherheit.de/","1","it-sicherheit","0"
"studycheck.de","11","https://www.studycheck.de/studium/internet-sicherheit/westfaelische-hs-9194","https://it-sicherheit.de/master-studieren/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Studiengang&utm_term=Internet-Sicherheit-M.Sc.-9194","0","hier","0"
"corics.com","11","https://www.corics.com/en/consulting/angebote/","https://www.it-sicherheit.de/","0","it-sicherheit","0"
"kompetenzzentrum-kommunikation.de","11","https://www.kompetenzzentrum-kommunikation.de/blog/unternehmenssicherheit-identitaetsmanagement-ueber-die-cloud-4835/","https://it-sicherheit.de/news/sicherheitsfragen-in-zeiten-von-remote-work-it-experten-antworten","1","aktuell ergibt sich durch den von der corona-pandemie angestoßenen trend zu remote work eine weitere herausforderung für die it-...","0"
"rainergerling.de","10","https://blog.rainergerling.de/archives/cat_awareness.html","https://www.it-sicherheit.de/securitynews/securitynews_webapp/news","0","securitynews","0"
"goldmedia.com","10","http://www.goldmedia.com/blog/Goldmedia-Tag/it-sicherheit/","http://www.it-sicherheit.de/","0","www.it-sicherheit.de","1"
"handwerkdigital.org","10","https://handwerkdigital.org/index.php/impressum1/2-uncategorised/1-it-sicherheit","https://www.it-sicherheit.de/","0","marktplatz it-sicherheit (der nicht-kommerzielle marktplatz it-sicherheit) (externer link)","0"
"muenchen.digital","10","https://muenchen.digital/blog/welt-passwort-tag/","https://www.it-sicherheit.de/news/fast-30-prozent-nutzen-fuer-online-dienste-dasselbe-passwort","0","30 prozent","0"
"avalia-gruenderlounge.de","10","https://avalia-gruenderlounge.de/e-mail-marketing/","http://www.it-sicherheit.de/startseite/news/anstieg-bei-spam-phishing-und-malware-e-mails","0","ca. 94% im vergleich zum vorjahr","0"
"servicemeister.org","10","https://www.servicemeister.org/2021/09/03/institut-fuer-internet-sicherheit-ifis-kuenstliche-intelligenz-und-ihre-schwaechen/","https://www.it-sicherheit.de/master-studieren","0","masterstudiengangs","0"
"infobytes.de","9","https://infobytes.de/pages/it_sicherheit.html","https://www.it-sicherheit.de/","0","der marktplatz it-sicherheit","0"
"social-media-abc.de","9","https://social-media-abc.de/wiki/Crawler","https://www.it-sicherheit.de/ratgeber/it_sicherheitstipps/tipp/spam-ade-schutz-vor-unerwuenschten-e-mails","1","[6]","0"
"it-service.network","9","https://it-service.network/blog/2017/07/17/vertretungsregelung/","https://www.it-sicherheit.de/uploads/tx_isdownload/secure-it-Infodienst_3_03_Hintergrund.pdf","0","denkzettel","0"
"rlp.de","9","https://www.datenschutz.rlp.de/de/themenfelder-themen/informationsquellen-und-organisationen-zum-thema-it-sicherheit/","https://www.it-sicherheit.de/","0","anbieterverzeichnis it-sicherheit","0"
"ihk.de","9","https://www.cottbus.ihk.de/it-sicherheit.html","https://www.it-sicherheit.de/","0","www.it-sicherheit.de","0"
"ralph-lehmann.de","9","https://blog.ralph-lehmann.de/2011/01/10/iphone-app-vom-institut-fur-internet-sicherheit-der-fh-gelsenkirchen/","https://www.it-sicherheit.de/","1","jonas wilms","0"
